NAICS Code,NAICS Title,MICS Code,MICS Title
11,"Agriculture, Forestry, Fishing and Hunting",11,Agroforestry
111,Crop Production,111,Crop Farming
1111,Oilseed and Grain Farming,111,Crop Farming
11111,Soybean Farming,111,Crop Farming
11112,Oilseed (except Soybean) Farming,111,Crop Farming
11113,Dry Pea and Bean Farming,111,Crop Farming
11114,Wheat Farming,111,Crop Farming
11115,Corn Farming,111,Crop Farming
11116,Rice Farming,111,Crop Farming
11119,Other Grain Farming,111,Crop Farming
111110,Soybean Farming,111,Crop Farming
111120,Oilseed (except Soybean) Farming,111,Crop Farming
111130,Dry Pea and Bean Farming,111,Crop Farming
111140,Wheat Farming,111,Crop Farming
111150,Corn Farming,111,Crop Farming
111160,Rice Farming,111,Crop Farming
111191,Oilseed and Grain Combination Farming,111,Crop Farming
111199,All Other Grain Farming,111,Crop Farming
1112,Vegetable and Melon Farming,111,Crop Farming
11121,Vegetable and Melon Farming,111,Crop Farming
111211,Potato Farming,111,Crop Farming
111219,Other Vegetable (except Potato) and Melon Farming,111,Crop Farming
1113,Fruit and Tree Nut Farming,111,Crop Farming
11131,Orange Groves,111,Crop Farming
11132,Citrus (except Orange) Groves,111,Crop Farming
11133,Noncitrus Fruit and Tree Nut Farming,111,Crop Farming
111310,Orange Groves,111,Crop Farming
111320,Citrus (except Orange) Groves,111,Crop Farming
111331,Apple Orchards,111,Crop Farming
111332,Grape Vineyards,111,Crop Farming
111333,Strawberry Farming,111,Crop Farming
111334,Berry (except Strawberry) Farming,111,Crop Farming
111335,Tree Nut Farming,111,Crop Farming
111336,Fruit and Tree Nut Combination Farming,111,Crop Farming
111339,Other Noncitrus Fruit Farming,111,Crop Farming
1114,"Greenhouse, Nursery, and Floriculture Production",111,Crop Farming
11141,Food Crops Grown Under Cover,111,Crop Farming
11142,Nursery and Floriculture Production,111,Crop Farming
111411,Mushroom Production,111,Crop Farming
111419,Other Food Crops Grown Under Cover,111,Crop Farming
111421,Nursery and Tree Production,111,Crop Farming
111422,Floriculture Production,111,Crop Farming
1119,Other Crop Farming,111,Crop Farming
11191,Tobacco Farming,111,Crop Farming
11192,Cotton Farming,111,Crop Farming
11193,Sugarcane Farming,111,Crop Farming
11194,Hay Farming,111,Crop Farming
11199,All Other Crop Farming,111,Crop Farming
111910,Tobacco Farming,111,Crop Farming
111920,Cotton Farming,111,Crop Farming
111930,Sugarcane Farming,111,Crop Farming
111940,Hay Farming,111,Crop Farming
111991,Sugar Beet Farming,111,Crop Farming
111992,Peanut Farming,111,Crop Farming
111998,All Other Miscellaneous Crop Farming,111,Crop Farming
112,Animal Production and Aquaculture,112,Animal Farming
1121,Cattle Ranching and Farming,112,Animal Farming
11211,"Beef Cattle Ranching and Farming, including Feedlots",112,Animal Farming
11212,Dairy Cattle and Milk Production,112,Animal Farming
11213,Dual-Purpose Cattle Ranching and Farming,112,Animal Farming
112111,Beef Cattle Ranching and Farming,112,Animal Farming
112112,Cattle Feedlots,112,Animal Farming
112120,Dairy Cattle and Milk Production,112,Animal Farming
112130,Dual-Purpose Cattle Ranching and Farming,112,Animal Farming
1122,Hog and Pig Farming,112,Animal Farming
11221,Hog and Pig Farming,112,Animal Farming
112210,Hog and Pig Farming,112,Animal Farming
1123,Poultry and Egg Production,112,Animal Farming
11231,Chicken Egg Production,112,Animal Farming
11232,Broilers and Other Meat Type Chicken Production,112,Animal Farming
11233,Turkey Production,112,Animal Farming
11234,Poultry Hatcheries,112,Animal Farming
11239,Other Poultry Production,112,Animal Farming
112310,Chicken Egg Production,112,Animal Farming
112320,Broilers and Other Meat Type Chicken Production,112,Animal Farming
112330,Turkey Production,112,Animal Farming
112340,Poultry Hatcheries,112,Animal Farming
112390,Other Poultry Production,112,Animal Farming
1124,Sheep and Goat Farming,112,Animal Farming
11241,Sheep Farming,112,Animal Farming
11242,Goat Farming,112,Animal Farming
112410,Sheep Farming,112,Animal Farming
112420,Goat Farming,112,Animal Farming
1125,Aquaculture,112,Animal Farming
11251,Aquaculture,112,Animal Farming
112511,Finfish Farming and Fish Hatcheries,112,Animal Farming
112512,Shellfish Farming,112,Animal Farming
112519,Other Aquaculture,112,Animal Farming
1129,Other Animal Production,112,Animal Farming
11291,Apiculture,112,Animal Farming
11292,Horses and Other Equine Production,112,Animal Farming
11293,Fur-Bearing Animal and Rabbit Production,112,Animal Farming
11299,All Other Animal Production,112,Animal Farming
112910,Apiculture,112,Animal Farming
112920,Horses and Other Equine Production,112,Animal Farming
112930,Fur-Bearing Animal and Rabbit Production,112,Animal Farming
112990,All Other Animal Production,112,Animal Farming
113,Forestry and Logging,113,Forestry and Logging
1131,Timber Tract Operations,113,Forestry and Logging
11311,Timber Tract Operations,113,Forestry and Logging
113110,Timber Tract Operations,113,Forestry and Logging
1132,Forest Nurseries and Gathering of Forest Products,113,Forestry and Logging
11321,Forest Nurseries and Gathering of Forest Products,113,Forestry and Logging
113210,Forest Nurseries and Gathering of Forest Products,113,Forestry and Logging
1133,Logging,113,Forestry and Logging
11331,Logging,113,Forestry and Logging
113310,Logging,113,Forestry and Logging
114,"Fishing, Hunting and Trapping",114,Fishing and Hunting
1141,Fishing,114,Fishing and Hunting
11411,Fishing,114,Fishing and Hunting
114111,Finfish Fishing,114,Fishing and Hunting
114112,Shellfish Fishing,114,Fishing and Hunting
114119,Other Marine Fishing,114,Fishing and Hunting
1142,Hunting and Trapping,114,Fishing and Hunting
11421,Hunting and Trapping,114,Fishing and Hunting
114210,Hunting and Trapping,114,Fishing and Hunting
115,Support Activities for Agriculture and Forestry,115,Support and Other Agroforestry 
1151,Support Activities for Crop Production,115,Support and Other Agroforestry 
11511,Support Activities for Crop Production,115,Support and Other Agroforestry 
115111,Cotton Ginning,115,Support and Other Agroforestry 
115112,"Soil Preparation, Planting, and Cultivating",115,Support and Other Agroforestry 
115113,"Crop Harvesting, Primarily by Machine",115,Support and Other Agroforestry 
115114,Postharvest Crop Activities (except Cotton Ginning),115,Support and Other Agroforestry 
115115,Farm Labor Contractors and Crew Leaders,115,Support and Other Agroforestry 
115116,Farm Management Services,115,Support and Other Agroforestry 
1152,Support Activities for Animal Production,115,Support and Other Agroforestry 
11521,Support Activities for Animal Production,115,Support and Other Agroforestry 
115210,Support Activities for Animal Production,115,Support and Other Agroforestry 
1153,Support Activities for Forestry,115,Support and Other Agroforestry 
11531,Support Activities for Forestry,115,Support and Other Agroforestry 
115310,Support Activities for Forestry,115,Support and Other Agroforestry 
21,"Mining, Quarrying, and Oil and Gas Extraction",21,Natural Resource Extraction
211,Oil and Gas Extraction,211,Oil and Gas Extraction
2111,Oil and Gas Extraction,211,Oil and Gas Extraction
21111,Oil and Gas Extraction,211,Oil and Gas Extraction
21112,Crude Petroleum Extraction,211,Oil and Gas Extraction
21113,Natural Gas Extraction,211,Oil and Gas Extraction
211111,Crude Petroleum and Natural Gas Extraction,211,Oil and Gas Extraction
211112,Natural Gas Liquid Extraction,211,Oil and Gas Extraction
211120,Crude Petroleum Extraction,211,Oil and Gas Extraction
211130,Natural Gas Extraction,211,Oil and Gas Extraction
212,Mining (except Oil and Gas),212,Other Mining 
2121,Coal Mining,212,Other Mining 
21211,Coal Mining,212,Other Mining 
212111,Bituminous Coal and Lignite Surface Mining,212,Other Mining 
212112,Bituminous Coal Underground Mining,212,Other Mining 
212113,Anthracite Mining,212,Other Mining 
212114,Surface Coal Mining,212,Other Mining 
212115,Underground Coal Mining,212,Other Mining 
2122,Metal Ore Mining,212,Other Mining 
21221,Iron Ore Mining,212,Other Mining 
21222,Gold Ore and Silver Ore Mining,212,Other Mining 
21223,"Copper, Nickel, Lead, and Zinc Mining",212,Other Mining 
21229,Other Metal Ore Mining,212,Other Mining 
212210,Iron Ore Mining,212,Other Mining 
212220,Gold Ore and Silver Ore Mining,212,Other Mining 
212221,Gold Ore Mining,212,Other Mining 
212222,Silver Ore Mining,212,Other Mining 
212230,"Copper, Nickel, Lead, and Zinc Mining",212,Other Mining 
212231,Lead Ore and Zinc Ore Mining,212,Other Mining 
212234,Copper Ore and Nickel Ore Mining,212,Other Mining 
212290,Other Metal Ore Mining,212,Other Mining 
212291,Uranium-Radium-Vanadium Ore Mining,212,Other Mining 
212299,All Other Metal Ore Mining,212,Other Mining 
2123,Nonmetallic Mineral Mining and Quarrying,212,Other Mining 
21231,Stone Mining and Quarrying,212,Other Mining 
21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",212,Other Mining 
21239,Other Nonmetallic Mineral Mining and Quarrying,212,Other Mining 
212311,Dimension Stone Mining and Quarrying,212,Other Mining 
212312,Crushed and Broken Limestone Mining and Quarrying,212,Other Mining 
212313,Crushed and Broken Granite Mining and Quarrying,212,Other Mining 
212319,Other Crushed and Broken Stone Mining and Quarrying,212,Other Mining 
212321,Construction Sand and Gravel Mining,212,Other Mining 
212322,Industrial Sand Mining,212,Other Mining 
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",212,Other Mining 
212324,Kaolin and Ball Clay Mining,212,Other Mining 
212325,Clay and Ceramic and Refractory Minerals Mining,212,Other Mining 
212390,Other Nonmetallic Mineral Mining and Quarrying,212,Other Mining 
212391,"Potash, Soda, and Borate Mineral Mining",212,Other Mining 
212392,Phosphate Rock Mining,212,Other Mining 
